,image_id,identity,path,split,dataset
19,2757,fca_base_matt,fca_base/collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300034_20190130063414_2757.JPG,train,fca_base
20,2759,fca_base_matt,fca_base/collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300039_20190130063424_2759.JPG,train,fca_base
21,2763,fca_base_matt,fca_base/collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300044_20190130063433_2763.JPG,train,fca_base
22,2770,fca_base_matt,fca_base/collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300051_20190130063446_2770.JPG,train,fca_base
24,3993,fca_base_matt,fca_base/collared-interact/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300059_20190130063506_3993.JPG,train,fca_base
25,3994,fca_base_matt,fca_base/collared-interact/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300060_20190130063507_3994.JPG,train,fca_base
27,2773,fca_base_matt,fca_base/collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300062_20190130063510_2773.JPG,train,fca_base
32,3998,fca_base_matt,fca_base/collared-interact/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300072_20190130063531_3998.JPG,train,fca_base
33,2781,fca_base_matt,fca_base/collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300074_20190130063534_2781.JPG,train,fca_base
34,2782,fca_base_matt,fca_base/collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300081_20190130063545_2782.JPG,train,fca_base
35,4005,fca_base_matt,fca_base/collared-interact/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300082_20190130063548_4005.JPG,train,fca_base
36,2783,fca_base_matt,fca_base/collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300084_20190130063549_2783.JPG,train,fca_base
37,2784,fca_base_matt,fca_base/collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300083_20190130063549_2784.JPG,train,fca_base
39,4006,fca_base_matt,fca_base/collared-interact/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300088_20190130063558_4006.JPG,train,fca_base
40,4007,fca_base_matt,fca_base/collared-interact/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300089_20190130063559_4007.JPG,train,fca_base
41,4008,fca_base_matt,fca_base/collared-interact/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300091_20190130063649_4008.JPG,train,fca_base
42,4009,fca_base_matt,fca_base/collared-interact/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300092_20190130063650_4009.JPG,train,fca_base
43,4010,fca_base_matt,fca_base/collared-interact/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300093_20190130063651_4010.JPG,train,fca_base
44,4011,fca_base_matt,fca_base/collared-interact/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300094_20190130063656_4011.JPG,train,fca_base
45,4012,fca_base_matt,fca_base/collared-interact/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300095_20190130063657_4012.JPG,train,fca_base
47,4014,fca_base_matt,fca_base/collared-interact/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300097_20190130063707_4014.JPG,train,fca_base
49,2791,fca_base_matt,fca_base/collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300101_20190130063723_2791.JPG,train,fca_base
50,2792,fca_base_matt,fca_base/collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300102_20190130063724_2792.JPG,train,fca_base
51,2793,fca_base_matt,fca_base/collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300103_20190130063738_2793.JPG,train,fca_base
52,2794,fca_base_matt,fca_base/collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300104_20190130063739_2794.JPG,train,fca_base
53,2795,fca_base_matt,fca_base/collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300105_20190130063740_2795.JPG,train,fca_base
55,4016,fca_base_matt,fca_base/collared-interact/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300107_20190130063751_4016.JPG,train,fca_base
56,4017,fca_base_matt,fca_base/collared-interact/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300108_20190130063752_4017.JPG,train,fca_base
57,4018,fca_base_matt,fca_base/collared-interact/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300109_20190130063803_4018.JPG,train,fca_base
58,4019,fca_base_matt,fca_base/collared-interact/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300110_20190130063804_4019.JPG,train,fca_base
59,4020,fca_base_matt,fca_base/collared-interact/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300111_20190130063805_4020.JPG,train,fca_base
60,4021,fca_base_matt,fca_base/collared-interact/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300112_20190130063818_4021.JPG,train,fca_base
61,4022,fca_base_matt,fca_base/collared-interact/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300113_20190130063819_4022.JPG,train,fca_base
62,4023,fca_base_matt,fca_base/collared-interact/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300114_20190130063820_4023.JPG,train,fca_base
63,4024,fca_base_matt,fca_base/collared-interact/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300115_20190130063829_4024.JPG,train,fca_base
64,2797,fca_base_matt,fca_base/collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300117_20190130063831_2797.JPG,train,fca_base
65,2800,fca_base_matt,fca_base/collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300120_20190130063836_2800.JPG,train,fca_base
66,2801,fca_base_matt,fca_base/collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300121_20190130063838_2801.JPG,train,fca_base
67,2802,fca_base_matt,fca_base/collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300122_20190130063839_2802.JPG,train,fca_base
68,2803,fca_base_matt,fca_base/collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300123_20190130063840_2803.JPG,train,fca_base
69,2804,fca_base_matt,fca_base/collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300124_20190130063844_2804.JPG,train,fca_base
70,2805,fca_base_matt,fca_base/collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300125_20190130063845_2805.JPG,train,fca_base
71,2807,fca_base_matt,fca_base/collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300127_20190130063850_2807.JPG,train,fca_base
72,2808,fca_base_matt,fca_base/collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300128_20190130063851_2808.JPG,train,fca_base
73,2809,fca_base_matt,fca_base/collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300129_20190130063852_2809.JPG,train,fca_base
74,2810,fca_base_matt,fca_base/collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300130_20190130063854_2810.JPG,train,fca_base
75,2811,fca_base_matt,fca_base/collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300131_20190130063855_2811.JPG,train,fca_base
76,2812,fca_base_matt,fca_base/collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300132_20190130063856_2812.JPG,train,fca_base
77,2813,fca_base_matt,fca_base/collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300133_20190130063914_2813.JPG,train,fca_base
78,2814,fca_base_matt,fca_base/collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300134_20190130063915_2814.JPG,train,fca_base
80,2816,fca_base_matt,fca_base/collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300136_20190130063953_2816.JPG,train,fca_base
81,2817,fca_base_matt,fca_base/collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300137_20190130063954_2817.JPG,train,fca_base
83,4025,fca_base_matt,fca_base/collared-interact/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300139_20190130064007_4025.JPG,train,fca_base
84,4026,fca_base_matt,fca_base/collared-interact/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300140_20190130064008_4026.JPG,train,fca_base
85,4027,fca_base_matt,fca_base/collared-interact/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300141_20190130064009_4027.JPG,train,fca_base
86,4028,fca_base_matt,fca_base/collared-interact/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300142_20190130064025_4028.JPG,train,fca_base
87,4029,fca_base_matt,fca_base/collared-interact/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300143_20190130064026_4029.JPG,train,fca_base
88,2819,fca_base_matt,fca_base/collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300144_20190130064027_2819.JPG,train,fca_base
89,2820,fca_base_matt,fca_base/collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300145_20190130064029_2820.JPG,train,fca_base
90,4030,fca_base_matt,fca_base/collared-interact/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300146_20190130064030_4030.JPG,train,fca_base
92,2823,fca_base_matt,fca_base/collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300151_20190130064038_2823.JPG,train,fca_base
93,2826,fca_base_matt,fca_base/collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300154_20190130064052_2826.JPG,train,fca_base
96,2831,fca_base_matt,fca_base/collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300159_20190130064058_2831.JPG,train,fca_base
97,2832,fca_base_matt,fca_base/collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300160_20190130064107_2832.JPG,train,fca_base
98,2834,fca_base_matt,fca_base/collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300162_20190130064109_2834.JPG,train,fca_base
99,2860,fca_base_matt,fca_base/collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300193_20190130064225_2860.JPG,train,fca_base
101,2865,fca_base_matt,fca_base/collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300198_20190130064302_2865.JPG,train,fca_base
103,2867,fca_base_matt,fca_base/collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300200_20190130064321_2867.JPG,train,fca_base
104,2868,fca_base_matt,fca_base/collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300201_20190130064322_2868.JPG,train,fca_base
105,2869,fca_base_matt,fca_base/collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300202_20190130064332_2869.JPG,train,fca_base
107,2871,fca_base_matt,fca_base/collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300204_20190130064334_2871.JPG,train,fca_base
108,2873,fca_base_matt,fca_base/collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300206_20190130064337_2873.JPG,train,fca_base
109,2875,fca_base_matt,fca_base/collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300208_20190130064342_2875.JPG,train,fca_base
111,2877,fca_base_matt,fca_base/collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300210_20190130064344_2877.JPG,train,fca_base
112,2878,fca_base_matt,fca_base/collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300211_20190130064349_2878.JPG,train,fca_base
113,2879,fca_base_matt,fca_base/collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300212_20190130064350_2879.JPG,train,fca_base
114,2880,fca_base_matt,fca_base/collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300213_20190130064351_2880.JPG,train,fca_base
115,2881,fca_base_matt,fca_base/collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300214_20190130064355_2881.JPG,train,fca_base
117,2883,fca_base_matt,fca_base/collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300216_20190130064357_2883.JPG,train,fca_base
118,2884,fca_base_matt,fca_base/collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300217_20190130064420_2884.JPG,train,fca_base
119,2885,fca_base_matt,fca_base/collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300218_20190130064421_2885.JPG,train,fca_base
120,2886,fca_base_matt,fca_base/collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300219_20190130064422_2886.JPG,train,fca_base
121,4041,fca_base_matt,fca_base/collared-interact/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300223_20190130064501_4041.JPG,train,fca_base
122,3213,fca_base_matt,fca_base/collared-ignore/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300230_20190130064515_3213.JPG,train,fca_base
123,3214,fca_base_matt,fca_base/collared-ignore/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300231_20190130064516_3214.JPG,train,fca_base
125,3216,fca_base_matt,fca_base/collared-ignore/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300233_20190130064523_3216.JPG,train,fca_base
126,3219,fca_base_matt,fca_base/collared-ignore/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300236_20190130065317_3219.JPG,train,fca_base
127,3221,fca_base_matt,fca_base/collared-ignore/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300238_20190130065337_3221.JPG,train,fca_base
128,3222,fca_base_matt,fca_base/collared-ignore/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300239_20190130065338_3222.JPG,train,fca_base
130,3224,fca_base_matt,fca_base/collared-ignore/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300241_20190130065646_3224.JPG,train,fca_base
131,3230,fca_base_matt,fca_base/collared-ignore/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300247_20190130070248_3230.JPG,train,fca_base
132,3231,fca_base_matt,fca_base/collared-ignore/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300249_20190130070249_3231.JPG,train,fca_base
133,3232,fca_base_matt,fca_base/collared-ignore/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300248_20190130070249_3232.JPG,train,fca_base
134,3235,fca_base_matt,fca_base/collared-ignore/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300252_20190130174558_3235.JPG,train,fca_base
135,3236,fca_base_matt,fca_base/collared-ignore/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300254_20190130174602_3236.JPG,train,fca_base
136,4049,fca_base_matt,fca_base/collared-interact/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300262_20190130174617_4049.JPG,train,fca_base
137,4050,fca_base_matt,fca_base/collared-interact/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300263_20190130174618_4050.JPG,train,fca_base
138,4051,fca_base_matt,fca_base/collared-interact/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300264_20190130174619_4051.JPG,train,fca_base
139,4052,fca_base_matt,fca_base/collared-interact/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300265_20190130174631_4052.JPG,train,fca_base
140,4053,fca_base_matt,fca_base/collared-interact/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300266_20190130174632_4053.JPG,train,fca_base
141,4055,fca_base_matt,fca_base/collared-interact/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300268_20190130174639_4055.JPG,train,fca_base
142,4056,fca_base_matt,fca_base/collared-interact/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300269_20190130174640_4056.JPG,train,fca_base
143,4058,fca_base_matt,fca_base/collared-interact/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300271_20190130174646_4058.JPG,train,fca_base
144,4059,fca_base_matt,fca_base/collared-interact/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300272_20190130174647_4059.JPG,train,fca_base
145,4060,fca_base_matt,fca_base/collared-interact/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300273_20190130174648_4060.JPG,train,fca_base
147,4063,fca_base_matt,fca_base/collared-interact/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_02020306_20190202042841_4063.JPG,train,fca_base
148,2892,fca_base_matt,fca_base/collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_02020320_20190202042922_2892.JPG,train,fca_base
150,2896,fca_base_matt,fca_base/collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_02020326_20190202042931_2896.JPG,train,fca_base
151,2899,fca_base_matt,fca_base/collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_02020329_20190202042936_2899.JPG,train,fca_base
152,2900,fca_base_matt,fca_base/collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_02020330_20190202042937_2900.JPG,train,fca_base
153,2906,fca_base_matt,fca_base/collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_02020336_20190202042955_2906.JPG,train,fca_base
155,2913,fca_base_matt,fca_base/collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_02020355_20190202043047_2913.JPG,train,fca_base
156,2917,fca_base_matt,fca_base/collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_02020359_20190202043054_2917.JPG,train,fca_base
157,2919,fca_base_matt,fca_base/collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_02020361_20190202043103_2919.JPG,train,fca_base
158,2920,fca_base_matt,fca_base/collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_02020362_20190202043104_2920.JPG,train,fca_base
160,2922,fca_base_matt,fca_base/collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_02020364_20190202043115_2922.JPG,train,fca_base
161,2923,fca_base_matt,fca_base/collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_02020365_20190202043116_2923.JPG,train,fca_base
162,2924,fca_base_matt,fca_base/collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_02020366_20190202043117_2924.JPG,train,fca_base
163,2925,fca_base_matt,fca_base/collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_02020367_20190202043121_2925.JPG,train,fca_base
164,2926,fca_base_matt,fca_base/collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_02020368_20190202043122_2926.JPG,train,fca_base
165,2927,fca_base_matt,fca_base/collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_02020369_20190202043123_2927.JPG,train,fca_base
166,2928,fca_base_matt,fca_base/collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_02020370_20190202043128_2928.JPG,train,fca_base
167,2929,fca_base_matt,fca_base/collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_02020371_20190202043129_2929.JPG,train,fca_base
168,2930,fca_base_matt,fca_base/collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_02020372_20190202043130_2930.JPG,train,fca_base
169,2931,fca_base_matt,fca_base/collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_02020373_20190202043135_2931.JPG,train,fca_base
170,4086,fca_base_matt,fca_base/collared-interact/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_02020374_20190202043136_4086.JPG,train,fca_base
171,4089,fca_base_matt,fca_base/collared-interact/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_02020377_20190202043142_4089.JPG,train,fca_base
172,4090,fca_base_matt,fca_base/collared-interact/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_02020378_20190202043143_4090.JPG,train,fca_base
173,2932,fca_base_matt,fca_base/collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_02020383_20190202043208_2932.JPG,train,fca_base
174,2934,fca_base_matt,fca_base/collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_02020385_20190202043211_2934.JPG,train,fca_base
175,2935,fca_base_matt,fca_base/collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_02020386_20190202043212_2935.JPG,train,fca_base
176,2936,fca_base_matt,fca_base/collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_02020387_20190202043213_2936.JPG,train,fca_base
182,2967,fca_base_matt,fca_base/collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_02020423_20190202043323_2967.JPG,train,fca_base
184,4106,fca_base_matt,fca_base/collared-interact/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_02020435_20190202043349_4106.JPG,train,fca_base
185,2972,fca_base_matt,fca_base/collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_02020438_20190202043355_2972.JPG,train,fca_base
186,2979,fca_base_matt,fca_base/collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_02020445_20190202043414_2979.JPG,train,fca_base
187,2980,fca_base_matt,fca_base/collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_02020446_20190202043415_2980.JPG,train,fca_base
188,2987,fca_base_matt,fca_base/collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_02020453_20190202043427_2987.JPG,train,fca_base
189,3005,fca_base_matt,fca_base/collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_02020474_20190202043518_3005.JPG,train,fca_base
190,3009,fca_base_matt,fca_base/collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_02020478_20190202043531_3009.JPG,train,fca_base
191,3012,fca_base_matt,fca_base/collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_02020481_20190202043539_3012.JPG,train,fca_base
192,3029,fca_base_matt,fca_base/collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_02020498_20190202043611_3029.JPG,train,fca_base
193,4112,fca_base_matt,fca_base/collared-interact/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_02020512_20190202043646_4112.JPG,train,fca_base
194,4113,fca_base_matt,fca_base/collared-interact/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_02020513_20190202043647_4113.JPG,train,fca_base
196,4129,fca_base_matt,fca_base/collared-interact/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_02020544_20190202043913_4129.JPG,train,fca_base
197,3246,fca_base_matt,fca_base/collared-ignore/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_02020546_20190202043915_3246.JPG,train,fca_base
198,427,fca_base_taki,fca_base/cat-ignore/20190801_y7TW_AucklandIsland_D2_6_26_SD63_20190211_02040030_20190204184533_427.JPG,train,fca_base
199,428,fca_base_taki,fca_base/cat-ignore/20190801_y7TW_AucklandIsland_D2_6_26_SD63_20190211_02040031_20190204184535_428.JPG,train,fca_base
200,429,fca_base_taki,fca_base/cat-ignore/20190801_y7TW_AucklandIsland_D2_6_26_SD63_20190211_02040032_20190204184536_429.JPG,train,fca_base
201,430,fca_base_taki,fca_base/cat-ignore/20190801_y7TW_AucklandIsland_D2_6_26_SD63_20190211_02040033_20190204184537_430.JPG,train,fca_base
202,431,fca_base_taki,fca_base/cat-ignore/20190801_y7TW_AucklandIsland_D2_6_26_SD63_20190211_02040034_20190204184539_431.JPG,train,fca_base
203,432,fca_base_taki,fca_base/cat-ignore/20190801_y7TW_AucklandIsland_D2_6_26_SD63_20190211_02040035_20190204184540_432.JPG,train,fca_base
204,433,fca_base_taki,fca_base/cat-ignore/20190801_y7TW_AucklandIsland_D2_6_26_SD63_20190211_02040036_20190204184541_433.JPG,train,fca_base
205,434,fca_base_taki,fca_base/cat-ignore/20190801_y7TW_AucklandIsland_D2_6_26_SD63_20190211_02040037_20190204184543_434.JPG,train,fca_base
206,435,fca_base_taki,fca_base/cat-ignore/20190801_y7TW_AucklandIsland_D2_6_26_SD63_20190211_02040038_20190204184544_435.JPG,train,fca_base
207,436,fca_base_taki,fca_base/cat-ignore/20190801_y7TW_AucklandIsland_D2_6_26_SD63_20190211_02040039_20190204184545_436.JPG,train,fca_base
